Session,Date,O_RTH,H_RTH,L_RTH,C_RTH,HOD_Time,LOD_Time,Extreme_First,PUV_Points,PDV_Points,PUV_Percent,PDV_Percent,RTH_Range_Points,Calendar_Days_Since_Previous_Complete,ATR_Sequence_Reset,Previous_Complete_RTH_Close,TR_RTH,ATR14_Previous,ATR14_End,PUV_ATR,PDV_ATR,RTH_Volume,Bar_Count,Duplicate_Bars
219,2013-02-07,2171,2172.5,2157.5,2168.75,09:37:00,11:45:00,HOD_FIRST,1.5,13.5,0.06909258,0.62183326,15,1,0,2170.75,15,13.96693571,14.04072602,0.1073965,0.96656849,1576549,390,0
220,2013-02-11,2176.5,2178,2172.75,2176.5,15:49:00,10:18:00,LOD_FIRST,1.5,3.75,0.06891799,0.17229497,5.25,4,0,2168.75,9.25,14.04072602,13.6985313,0.10683208,0.26708021,991112,390,0
221,2013-02-12,2176.75,2182,2175,2179,13:29:00,09:43:00,LOD_FIRST,5.25,1.75,0.24118525,0.08039508,7,1,0,2176.5,7,13.6985313,13.22006478,0.38325277,0.12775092,950430,390,0
222,2013-02-13,2182.25,2185,2176,2180.5,10:22:00,14:55:00,HOD_FIRST,2.75,6.25,0.12601673,0.28640165,9,1,0,2179,9,13.22006478,12.91863158,0.20801713,0.47276622,1011956,390,0
223,2013-02-19,2182.5,2191.75,2182.5,2191.25,16:00:00,09:31:00,LOD_FIRST,9.25,0,0.42382589,0,9.25,6,0,2180.5,11.25,12.91863158,12.79944361,0.71602011,0,1070909,390,0
224,2013-02-21,2168.5,2168.5,2158,2162.75,09:31:00,14:26:00,HOD_FIRST,0,10.5,0,0.48420567,10.5,2,0,2191.25,33.25,12.79944361,14.26019764,0,0.82034816,1951780,390,0
225,2013-02-25,2185.25,2187.5,2148.5,2148.75,10:06:00,16:00:00,HOD_FIRST,2.25,36.75,0.10296305,1.68172978,39,4,0,2162.75,39,14.26019764,16.02732638,0.15778182,2.57710313,2489221,390,0
226,2013-03-01,2169.75,2182,2162.5,2180,12:59:00,09:41:00,LOD_FIRST,12.25,7.25,0.56458117,0.33413988,19.5,4,0,2148.75,33.25,16.02732638,17.25751735,0.76431962,0.45235243,1999577,390,0
227,2013-03-04,2176.25,2187.25,2173.5,2187,16:00:00,12:35:00,LOD_FIRST,11,2.75,0.50545663,0.12636416,13.75,3,0,2180,13.75,17.25751735,17.0069804,0.63740339,0.15935085,1468743,390,0
228,2013-03-11,2211.75,2219,2210,2218.5,14:49:00,09:42:00,LOD_FIRST,7.25,1.75,0.32779473,0.07912287,9,7,1,,9,,,,,165881,390,0
